ticker,current_qty,target_qty,delta_qty,side,order_type,tif,price,trade_notional,current_weight,target_weight,abs_weight_change
AMAT,1,2,1,BUY,MKT,DAY,375.7200012207031,375.7200012207031,0.003849370289838564,0.009591667797715149,0.005742297507876585
DDOG,34,48,14,BUY,MKT,DAY,116.45999908447266,1630.4399871826172,0.04056776430616482,0.0579965782395823,0.017428813933417477
LRCX,1,6,5,BUY,MKT,DAY,239.07000732421875,1195.3500366210938,0.0024493478664841077,0.01644346163396009,0.013994113767475981
MCHP,0,29,29,BUY,MKT,DAY,74.97000122070312,2174.1300354003906,0.0,0.02269161695322752,0.02269161695322752
ON,0,14,14,BUY,MKT,DAY,68.16000366210938,954.2400512695312,0.0,0.010190439231551962,0.010190439231551962
SNOW,3,9,6,BUY,MKT,DAY,173.05999755859375,1038.3599853515625,0.005319163292855415,0.01618435348526354,0.010865190192408124
TEAM,0,24,24,BUY,MKT,DAY,79.43000030517578,1906.3200073242188,0.0,0.02003651107367219,0.02003651107367219
TSM,21,22,1,BUY,MKT,DAY,376.80999755859375,376.80999755859375,0.081071290591068,0.08643458081359938,0.005363290222531375
TXN,0,7,7,BUY,MKT,DAY,212.6300048828125,1488.4100341796875,0.0,0.01722962084764807,0.01722962084764807
AAPL,61,60,-1,SELL,MKT,DAY,272.95001220703125,-272.95001220703125,0.1705840134020482,0.17034279494662802,0.00024121845542018905
AMZN,14,9,-5,SELL,MKT,DAY,207.9199981689453,-1039.5999908447266,0.029822886336108495,0.020888240289185123,0.008934646046923372
ARM,2,1,-1,SELL,MKT,DAY,129.25999450683594,-129.25999450683594,0.0026486190828421243,0.0018551186231072327,0.0007935004597348916
AVGO,1,0,-1,SELL,MKT,DAY,321.70001220703125,-321.70001220703125,0.0032959184105373993,0.002308493381792634,0.0009874250287447654
CRWD,1,0,-1,SELL,MKT,DAY,381.1000061035156,-381.1000061035156,0.0039044901420897085,0.0027347429546410377,0.0011697471874486708
GOOGL,38,26,-12,SELL,MKT,DAY,307.3800048828125,-3688.56005859375,0.11966980537740679,0.08381789817093226,0.035851907206474534
MDB,4,2,-2,SELL,MKT,DAY,336.6099853515625,-673.219970703125,0.013794703211598954,0.009661944593639085,0.004132758617959869
META,6,4,-2,SELL,MKT,DAY,657.010009765625,-1314.02001953125,0.04038765256310209,0.02828790553490953,0.01209974702819256
MSFT,23,20,-3,SELL,MKT,DAY,401.7200012207031,-1205.1600036621094,0.0946622158727295,0.08365623012475164,0.011005985747977856
MU,3,2,-1,SELL,MKT,DAY,415.55999755859375,-415.55999755859375,0.012772630972933888,0.008946075235002016,0.0038265557379318724
NET,1,0,-1,SELL,MKT,DAY,174.66000366210938,-174.66000366210938,0.001789446999722227,0.0012533461212876,0.000536100878434627
NOW,32,22,-10,SELL,MKT,DAY,109.30000305175781,-1093.0000305175781,0.03583401963672876,0.025098496646619853,0.010735522990108909
NVDA,2,1,-1,SELL,MKT,DAY,184.88999938964844,-184.88999938964844,0.003788513085417109,0.002653511493657838,0.001135001591759271
ORCL,100,99,-1,SELL,MKT,DAY,150.30999755859375,-150.30999755859375,0.15399734828806225,0.1527057158889157,0.0012916323991465362
PANW,79,66,-13,SELL,MKT,DAY,149.39999389648438,-1942.1999206542969,0.12092136638762617,0.10161334333782017,0.019308023049806
PLTR,1,0,-1,SELL,MKT,DAY,135.94000244140625,-135.94000244140625,0.001392748336256784,0.0009754945105658073,0.00041725382569097666
ZS,12,8,-4,SELL,MKT,DAY,167.36000061035156,-669.4400024414062,0.020575873904942994,0.014411542646898166,0.006164331258044827
