ticker,current_qty,target_qty,delta_qty,side,order_type,tif,limit_price,price,trade_notional,current_weight,target_weight,abs_weight_change
AAPL,0,47,47,BUY,LMT,GTC,265.16,264.9,12450.3,0.0,0.1250040254833814,0.1250040254833814
AMAT,0,3,3,BUY,LMT,GTC,372.3,371.93,1115.79,0.0,0.0139164534729467,0.0139164534729467
AMZN,0,4,4,BUY,LMT,GTC,208.25,208.04,832.16,0.0,0.008868717589104,0.008868717589104
DDOG,0,53,53,BUY,LMT,GTC,108.19,108.08,5728.24,0.0,0.0578131524061666,0.0578131524061666
GOOGL,0,11,11,BUY,LMT,GTC,306.29,305.985,3365.835,0.0,0.0347865601476645,0.0347865601476645
LRCX,0,18,18,BUY,LMT,GTC,231.0,230.77,4153.860000000001,0.0,0.041781821316102,0.041781821316102
MCHP,0,9,9,BUY,LMT,GTC,74.07,74.0,666.0,0.0,0.0068861347723697,0.0068861347723697
MDB,0,1,1,BUY,LMT,GTC,247.95,247.7,247.7,0.0,0.0030737474059705,0.0030737474059705
META,0,2,2,BUY,LMT,GTC,652.51,651.86,1303.72,0.0,0.0185429213265485,0.0185429213265485
MSFT,0,22,22,BUY,LMT,GTC,398.39,397.99,8755.78,0.0,0.0909506618114608,0.0909506618114608
NFLX,0,24,24,BUY,LMT,GTC,96.89,96.79,2322.96,0.0,0.0232870686089067,0.0232870686089067
NOW,0,10,10,BUY,LMT,GTC,110.08,109.97,1099.7,0.0,0.0113831072265484,0.0113831072265484
ON,0,1,1,BUY,LMT,GTC,66.37,66.3,66.3,0.0,0.0007366709149202,0.0007366709149202
ORCL,0,56,56,BUY,LMT,GTC,149.0,148.85000000000002,8335.600000000002,0.0,0.0836681021815329,0.0836681021815329
PANW,0,56,56,BUY,LMT,GTC,150.35,150.2,8411.199999999999,0.0,0.0841354661879394,0.0841354661879394
SNOW,0,21,21,BUY,LMT,GTC,167.67,167.5,3517.5,0.0,0.0358006099761724,0.0358006099761724
TEAM,0,37,37,BUY,LMT,GTC,73.75,73.675,2725.975,0.0,0.0274465735881561,0.0274465735881561
TSM,0,8,8,BUY,LMT,GTC,370.28,369.91,2959.28,0.0,0.0316549109124258,0.0316549109124258
TXN,0,10,10,BUY,LMT,GTC,210.03,209.82,2098.2,0.0,0.0210931366510174,0.0210931366510174
ZS,0,18,18,BUY,LMT,GTC,148.53,148.38,2670.84,0.0,0.0272773151470471,0.0272773151470471
