run_id,horizon_days,long_short_quantile,weight_max,gross_exposure_target,turnover_cap,status,error,annualized_return,annualized_volatility,sharpe_ratio,weekly_sharpe_ratio,max_drawdown,average_turnover,total_cost_bps_paid,average_gross_exposure,average_net_exposure,ex_ante_factor_exposure_l1,ex_post_factor_beta_l1,ex_post_factor_r2
13,15,0.35,0.12,1.0,0.1,ok,,0.015003619511566813,0.042622990076203675,0.3520076720272917,0.34709597082644134,-0.16235699041200902,0.09999999999999999,102.20000000000002,0.3186563759717223,0.019527837716365275,0.06077708632143246,0.05600776288579977,0.0856238752042976
4,15,0.3,0.12,1.0,0.1,ok,,0.014222685386348966,0.04280577838136491,0.3322608751471899,0.3279029639160394,-0.16451559281586658,0.09999999999999999,102.20000000000002,0.31710825564274814,0.020041844810933355,0.0590072474432618,0.05866371594208966,0.07925070658842592
16,15,0.35,0.15,1.0,0.1,ok,,0.013683015361208195,0.039922962544611154,0.3427354707436446,0.32655446351457856,-0.15396825139096448,0.09999999999999999,102.20000000000002,0.32864469405132696,0.008368185064838522,0.04951448039740483,0.05165668920635909,0.03783806059910988
1,15,0.3,0.1,1.0,0.1,ok,,0.013686702990182154,0.04213136193234304,0.32485783422242664,0.3169476975664732,-0.1667831894559887,0.09999999999999999,102.20000000000002,0.314742621252142,0.010876987193306606,0.04324327101918779,0.042114422324779015,0.05364147178732359
7,15,0.3,0.15,1.0,0.1,ok,,0.012799577745525204,0.039844493777595684,0.3212383075305208,0.30581098519193506,-0.16035372599251163,0.09999999999999999,102.20000000000002,0.32714874974292174,0.008568223274208432,0.047533507711877324,0.04731302573451706,0.03197010112062437
10,15,0.35,0.1,1.0,0.1,ok,,0.012020496058834151,0.04082913016620455,0.2944098003043882,0.2893601382187154,-0.16288888731241513,0.09999999999999999,102.20000000000002,0.3136584366282541,0.010082284216051748,0.04359688935442742,0.0445692565196113,0.05965740437195388
17,15,0.35,0.15,1.0,0.2,ok,,0.007026512295553733,0.048895899217428464,0.1437035090470164,0.1361244369981526,-0.24258699261705674,0.19999999999999998,204.40000000000003,0.42234736640037557,0.007902462714033985,0.04208859236396009,0.04292855783982713,0.015960584582516035
8,15,0.3,0.15,1.0,0.2,ok,,0.005116093637586472,0.04897879987665252,0.10445526739060096,0.09874460693697959,-0.24696178008287117,0.19999999999999998,204.40000000000003,0.4216564066034846,0.008023836309580337,0.03967413977345002,0.03779352477043197,0.012182676122585168
14,15,0.35,0.12,1.0,0.2,ok,,0.00485625177615745,0.051581550564732175,0.09414706853496203,0.09332019638762504,-0.24678707444247772,0.19999999999999998,204.40000000000003,0.41212411180900016,0.018181663085700534,0.0526529197173603,0.08350417816229995,0.06338449509116573
2,15,0.3,0.1,1.0,0.2,ok,,0.003943890176399956,0.05121137660666087,0.0770119929931153,0.07565700852083268,-0.24698041522320613,0.19999999999999998,204.40000000000003,0.41048497045355686,0.00967837610323805,0.03438667275771171,0.06706232691864367,0.04131064165764964
5,15,0.3,0.12,1.0,0.2,ok,,0.0034130654702095864,0.051930938531517465,0.06572316169749481,0.06516676579802066,-0.24656970068957618,0.19999999999999998,204.40000000000003,0.41155201896857957,0.018774173648299985,0.05074217680280564,0.08604119542292915,0.05859310998241296
11,15,0.35,0.1,1.0,0.2,ok,,0.0029847890161323054,0.04983404696534843,0.05989457404909833,0.059490525145850584,-0.24596707266848528,0.19999999999999998,204.40000000000003,0.4092144751126398,0.00884218740033276,0.03571057610513187,0.06547917383203153,0.04597558261632395
18,15,0.35,0.15,1.0,0.3,ok,,-0.0005808155736485299,0.05570032151064617,-0.010427508457693855,-0.009927352661286273,-0.3139272556685133,0.29999999999999993,306.59999999999997,0.4982457017686139,0.0075355308357256175,0.03888817103179587,0.03902234005853451,0.010350552355393616
9,15,0.3,0.15,1.0,0.3,ok,,-0.0031399778104500564,0.05588181261085015,-0.056189619909365475,-0.05352336512485574,-0.31094331087728255,0.3,306.6,0.4981151459084496,0.007632025055577019,0.036374439454722234,0.03338842464644706,0.007325692697376707
15,15,0.35,0.12,1.0,0.3,ok,,-0.006438716241389808,0.0586626151745962,-0.10975842488825982,-0.11017885142896655,-0.3134608684786837,0.3,306.59999999999997,0.4887005822360879,0.017026281248576528,0.04839370568021384,0.10563862670963434,0.05741563886214551
3,15,0.3,0.1,1.0,0.3,ok,,-0.006503553852353794,0.05805425459653318,-0.11202544753269757,-0.1119315997574954,-0.3051662147466283,0.3,306.59999999999997,0.48845213653774383,0.008606151491834725,0.030447727642945892,0.08471912623824633,0.03724709124565195
12,15,0.35,0.1,1.0,0.3,ok,,-0.006774246988734189,0.05693780679883769,-0.11897625443613814,-0.12006067032002046,-0.3097835965909732,0.3,306.6,0.4881212818159201,0.007932411062998043,0.0326384935790144,0.08633314339317938,0.04300917898472767
6,15,0.3,0.12,1.0,0.3,ok,,-0.008122241551992815,0.059043754294906436,-0.1375630945048747,-0.13866901767002696,-0.3062922084402516,0.30000000000000004,306.6,0.4878776524325345,0.01758366403464777,0.04631519088231821,0.10740873401988682,0.052630810805622374
